============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág   477 | +12 novos | Total novo: 5724
  Pág   478 | +12 novos | Total novo: 5736
  Pág   479 | +12 novos | Total novo: 5748
  Pág   480 | +12 novos | Total novo: 5760
  Pág   481 | +12 novos | Total novo: 5772
  Pág   482 | +12 novos | Total novo: 5784
  Pág   483 | +12 novos | Total novo: 5796
  [ERRO] pág 484: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  Pág   485 | +12 novos | Total novo: 5808
  Pág   486 | +12 novos | Total novo: 5820
  Pág   487 | +12 novos | Total novo: 5832
  Pág   488 | +12 novos | Total novo: 5844
  Pág   489 | +12 novos | Total novo: 5856
  Pág   490 | +12 novos | Total novo: 5868
  Pág   491 | +12 novos | Total novo: 5880
  Pág   492 | +12 novos | Total novo: 5892
  Pág   493 | +12 novos | Total novo: 5904
  Pág   494 | +12 novos | Total novo: 5916
  Pág   495 | +12 novos | Total novo: 5928
  Pág   496 | +12 novos | Total novo: 5940
  Pág   497 | +12 novos | Total novo: 5952
  Pág   498 | +12 novos | Total novo: 5964
  Pág   499 | +12 novos | Total novo: 5976
  Pág   500 | +12 novos | Total novo: 5988
  Pág   501 | +12 novos | Total novo: 6000
  Pág   502 | +12 novos | Total novo: 6012
  Pág   503 | +12 novos | Total novo: 6024
  Pág   504 | +12 novos | Total novo: 6036
  Pág   505 | +12 novos | Total novo: 6048
  Pág   506 | +12 novos | Total novo: 6060
  Pág   507 | +12 novos | Total novo: 6072
  Pág   508 | +12 novos | Total novo: 6084
  Pág   509 | +12 novos | Total novo: 6096
  Pág   510 | +12 novos | Total novo: 6108
  Pág   511 | +12 novos | Total novo: 6120
  Pág   512 | +12 novos | Total novo: 6132
  Pág   513 | +12 novos | Total novo: 6144
  Pág   514 | +12 novos | Total novo: 6156
  Pág   515 | +12 novos | Total novo: 6168
  Pág   516 | +12 novos | Total novo: 6180
  Pág   517 | +12 novos | Total novo: 6192
  Pág   518 | +12 novos | Total novo: 6204
  Pág   519 | +12 novos | Total novo: 6216
  Pág   520 | +12 novos | Total novo: 6228
  Pág   521 | +12 novos | Total novo: 6240
  Pág   522 | +12 novos | Total novo: 6252
  Pág   523 | +12 novos | Total novo: 6264
  Pág   524 | +12 novos | Total novo: 6276
  Pág   525 | +12 novos | Total novo: 6288
  Pág   526 | +12 novos | Total novo: 6300
  Pág   527 | +12 novos | Total novo: 6312
  Pág   528 | +12 novos | Total novo: 6324
  Pág   529 | +12 novos | Total novo: 6336
  Pág   530 | +12 novos | Total novo: 6348
  Pág   531 | +12 novos | Total novo: 6360
  Pág   532 | +12 novos | Total novo: 6372
  Pág   533 | +12 novos | Total novo: 6384
  Pág   534 | +12 novos | Total novo: 6396
  Pág   535 | +12 novos | Total novo: 6408
  Pág   536 | +12 novos | Total novo: 6420
  Pág   537 | +12 novos | Total novo: 6432
  Pág   538 | +12 novos | Total novo: 6444
